key,ru,bs,sq,tr,ar,id,en
# === UI ===,ru,bs,sq,tr,ar,id,en
,,,,,,,
UI_START_BUTTON,Начать,Početak,Filloni,Başlamak,يبدأ,Mulai,Begin
UI_NEXT_BUTTON,Далее,Sljedeće,Tjetra,Sonraki,التالي,Berikutnya,Next
UI_BACK_BUTTON,Назад,Nazad,Mbrapa,Geri,خلف,Kembali,Back
UI_SUBMIT_BUTTON,Отправить,Pošalji,Dërgo,Göndermek,يرسل,Mengirim,Send
UI_RETRY_BUTTON,Попробовать снова,Pokušajte ponovo,Provo përsëri,Tekrar deneyin,حاول ثانية,Coba lagi,Try again
UI_TIITLE_WARMUP,Подготовка к хаджу,Priprema za hadž,Përgatitja për Haxh,Hac için hazırlıklar,الاستعداد للحج,Persiapan Menuju Haji,Preparing for the Hajj
UI_TITLE_LEVEL_1,Уровень 1: Микат,Nivo 1: Mikat,Niveli 1: Mikat,Seviye 1: Mikat,المستوى 1: ميكات,Level 1: Mikat,Level 1: Mikat
UI_TITLE_LEVEL_2,Уровень 2: Подготовка к микату,Nivo 2: Priprema za mikat,Niveli 2: Përgatitja për Miqat,Seviye 2: Miqat'a Hazırlık,المستوى الثاني: الاستعداد للميقات,Level 2: Persiapan untuk Miqat,Level 2: Preparing for the Miqat
UI_TITLE_LEVEL_3,Уровень 3: Таваф,Nivo 3: Tavaf,Niveli 3: Tavafi,Seviye 3: Tavaf,المستوى 3: الطواف,Level 3: Tawaf,Level 3: Tawaf
UI_TITLE_QUIZ,Викторина,Kviz,Kuiz,Sınav,لغز,Kuis,Quiz
UI_TITLE_THEORY,Теория,Teorija,Teori,Teori,نظرية,Teori,Theory
UI_GO_TO_TEST,Перейти к тесту,Idi na test,Shko në provë,Teste git,اذهب إلى الاختبار,Ikuti tesnya,Go to the test
UI_GO_TO_THEORY,Перейти к теории,Idi na teoriju,Shko te teoria,Teoriye git,انتقل إلى النظرية,Masuk ke teori,Go to theory
UI_TITLE_LEVEL_1,Подгтотовка к хаджу,Priprema za hadž,Përgatitja për Haxh,Hac hazırlıkları,الاستعداد للحج,Persiapan Haji,Preparation for Hajj
UI_TITLE_LEVEL_2,Микат,Mikat,Mikat,Mikat,ميكات,Mikat,Mikat
UI_TITLE_LEVEL_3,Таваф уль кудум,Tavaf ul kudum,Tawaf ul kudum,Tawaf ul qudum,طواف القدوم,Tawaf ul qudum,Tawaf ul qudum
UI_PROGRESS_RESET_KEY,Сброс,Resetuj,Rivendos,Sıfırla,إعادة ضبط,Mengatur ulang,Reset
,,,,,,,
,,,,,,,
,,,,,,,
# === LEVEL 0 - UMRA INTRODUCTION ===,,,,,,,
LEVEL_0_TITLE,Умра: введение,Umra: Uvod,Umra: Një Hyrje,Umre: Bir Giriş,العمرة: مقدمة,Umrah: Sebuah Pengantar,Umrah: An Introduction
LEVEL_0_DESC,Изучи основы малого паломничества,Naučite osnove malog hodočašća,Mësoni bazat e pelegrinazhit të vogël,Küçük hac yolculuğunun temellerini öğrenin.,تعرّف على أساسيات الحج الأصغر,Pelajari dasar-dasar ziarah kecil.,Learn the basics of the lesser pilgrimage
,,,,,,,
THEORY_L0_UMRA_DEF_TITLE,Что такое Умра?,Šta je Umra?,Çfarë është Umra?,Umre nedir?,ما هي العمرة؟,Apa itu Umrah?,What is Umrah?
THEORY_L0_UMRA_DEF_TEXT,Умра — это малое паломничество в Мекку. которое можно совершить практически в любое время года. Она включает несколько обязательных обрядов и является великим видом поклонения Аллаху.,Umra je manje hodočašće u Meku koje se može obaviti gotovo u bilo koje doba godine. Uključuje nekoliko obaveznih rituala i predstavlja duboki oblik obožavanja Allaha.,Umra është një pelegrinazh i vogël në Mekë që mund të kryhet pothuajse në çdo kohë të vitit. Ajo përfshin disa rituale të detyrueshme dhe është një formë e thellë adhurimi ndaj Allahut.,"Umre, yılın hemen her zamanında yapılabilen, Mekke'ye yapılan küçük bir hac yolculuğudur. Birkaç farz ibadeti içerir ve Allah'a yönelik derin bir ibadet biçimidir.",العمرة هي حجّ صغير إلى مكة المكرمة يمكن أداؤه في أي وقت تقريباً من السنة. وهي تشمل العديد من المناسك المفروضة، وتُعدّ شكلاً عميقاً من أشكال العبادة لله.,Umrah adalah ibadah haji kecil ke Mekah yang dapat dilakukan hampir sepanjang tahun. Ibadah ini meliputi beberapa ritual wajib dan merupakan bentuk ibadah yang mendalam kepada Allah.,Umrah is a minor pilgrimage to Mecca that can be performed at almost any time of year. It includes several obligatory rituals and is a profound form of worship to Allah.
,,,,,,,
